,id,operation_time,code,category,timeout,answer,status
359,360,2020-01-26 01:15:42.151952,111-14729-1,None,0.56448,"--SUCCESS--АЗС МАЖОР(id:11794, code:111-14729-1)properties:{НОМЕР_ЗАКАЗА=11111}PersAccInfo2{desiredAmount=0, needShowBill=false, property={}, provider=null}",OK
360,361,2020-01-26 01:15:42.217564,979-14727-1,None,0.04593,PaymentPropertyException: BIS-01275: Incorrect payment property Группа/Класс: обязательно для заполнения,Format
361,362,2020-01-26 01:15:42.921338,111-14720-1,None,0.68602,bisys.UnknownAccountException: BIS-01640: Unknown Лицевой счет 11,OK
362,363,2020-01-26 01:15:42.985195,100-13579-73,None,0.044738,PaymentPropertyException: BIS-01275: Incorrect payment property ТЕЛЕФОН ОТПРАВИТЕЛЯ	: обязательно для заполнения,Format
363,364,2020-01-26 01:15:43.053227,111-14713-1,None,0.04858,PaymentPropertyException: BIS-01275: Incorrect payment property ФИО: обязательно для заполнения,Format
364,365,2020-01-26 01:15:44.365088,111-14711-1,None,1.295249,bisys.UnknownAccountException: BIS-01640: Unknown ПОЗЫВНОЙ 1,OK
365,366,2020-01-26 01:15:44.498575,979-14710-1,None,0.048471,PaymentPropertyException: BIS-01275: Incorrect payment property Группа/Класс: обязательно для заполнения,Format
366,367,2020-01-26 01:15:44.562288,111-14707-1,None,0.046194,PaymentPropertyException: BIS-01275: Incorrect payment property ФИО: обязательно для заполнения,Format
367,368,2020-01-26 01:15:45.046454,111-14706-7,None,0.464414,"--SUCCESS--Фотостудия-улыбка.рф(id:12259, code:111-14706-7)properties:{НОМЕР_ЗАКАЗА=1}PersAccInfo2{desiredAmount=0, needShowBill=false, property={}, provider=null}",OK
368,369,2020-01-26 01:15:45.370435,111-14706-6,None,0.30645,"--SUCCESS--Ткачик.рф(id:12268, code:111-14706-6)properties:{НОМЕР_ЗАКАЗА=1}PersAccInfo2{desiredAmount=0, needShowBill=false, property={}, provider=null}",OK
369,370,2020-01-26 01:15:45.832241,111-14706-5,None,0.442991,"--SUCCESS--Gratiavitae.ru(id:12267, code:111-14706-5)properties:{НОМЕР_ЗАКАЗА=1}PersAccInfo2{desiredAmount=0, needShowBill=false, property={}, provider=null}",OK
370,371,2020-01-26 01:15:46.188600,111-14706-4,None,0.336925,"--SUCCESS--CS-Cart-Multi-Vendor.ru(id:12266, code:111-14706-4)properties:{НОМЕР_ЗАКАЗА=1}PersAccInfo2{desiredAmount=0, needShowBill=false, property={}, provider=null}",OK
371,372,2020-01-26 01:15:46.651507,111-14706-3,None,0.444717,"--SUCCESS--zapasexpress.ru(id:12265, code:111-14706-3)properties:{НОМЕР_ЗАКАЗА=1}PersAccInfo2{desiredAmount=0, needShowBill=false, property={}, provider=null}",OK
372,373,2020-01-26 01:15:47.116877,111-14706-2,None,0.447708,"--SUCCESS--maurisweb.ru(id:12264, code:111-14706-2)properties:{НОМЕР_ЗАКАЗА=1}PersAccInfo2{desiredAmount=0, needShowBill=false, property={}, provider=null}",OK
